Alabama,4849377,Mississippi, Tennessee, Georgia, Florida,,,,
Alaska,736732,,,,,,,,
Arizona,6731484,California, Nevada, Utah, New Mexico,,,,
Arkansas,2966369,Missouri, Tennessee, Mississippi, Louisiana, Texas, Oklahoma,,
California,38802500,Oregon, Nevada, Arizona,,,,,
Colorado,5355866,Wyoming, Nebraska, Kansas, Oklahoma, New Mexico, Utah,,
Connecticut,3596677,New York, Massachusetts, Rhode Island,,,,,
Delaware,935614,Pennsylvania, New Jersey, Maryland,,,,,
District of Columbia,658893,Virginia, Maryland,,,,,,
Florida,19893297,Georgia, Alabama,,,,,,
Georgia,10097343,Alabama, Florida, South Carolina, North Carolina, Tennessee,,,
Hawaii,1419561,none,,,,,,,
Idaho,1634464,Montana, Wyoming, Utah, Nevada, Oregon, Washington,,
Illinois,12880580,Iowa, Wisconsin, Indiana, Kentucky, Missouri,,,
Indiana,6596855,Michigan, Ohio, Kentucky, Illinois,,,,
Iowa,3107126,Minnesota, Wisconsin, Illinois, Missouri, Nebraska, South Dakota,,
Kansas,2904021,Nebraska, Missouri, Oklahoma, Colorado,,,,
Kentucky,4413457,Missouri, Illinois, Indiana, Ohio, West Virginia, Virginia, Tennessee,
Louisiana,4649676,Texas, Arkansas, Mississippi,,,,,
Maine,1330089,New Hampshire,,,,,,,
Maryland,5976407,West Virgina, Virginia, Delaware, Pennsylvania, District of Columbia,,,
Massachusetts,6745408,Connecticut, Rhode Island, New Hampshire, Vermont, New York,,,
Michigan,9909877,Wisconsin, Indiana, Ohio,,,,,
Minnesota,5457173,North Dakota, South Dakota, Iowa, Wisconsin,,,,
Mississippi,2994079,Tennessee, Alabama, Louisiana, Arkansas,,,,
Missouri,6063589,Iowa, Illinois, Kentucky, Tennessee, Arkansas, Oklahoma, Kansas, Nebraska
Montana,1023579,North Dakota, South Dakota, Wyoming, Idaho,,,,
Nebraska,1881503,South Dakota, Iowa, Missouri, Kansas, Colorado, Wyoming,,
Nevada,2839098,Oregon, Idaho, Utah, Arizona, California,,,
New Hampshire,1326813,Maine, Massachusetts, Vermont,,,,,
New Jersey,8938175,New York, Pennsylvania, Delaware,,,,,
New Mexico,2085572,Colorado, Oklahoma, Texas, Arizona,,,,
New York,19746227,Vermont, Massachusetts, New Jersey, Pennsylvania, Connecticut,,,
North Carolina,9943964,Virginia, Tennessee, Georgia, South Carolina,,,,
North Dakota,739482,Minnesota, South Dakota, Montana,,,,,
Ohio,11594163,Pennsylvania, West Virginia, Kentucky, Indiana, Michigan,,,
Oklahoma,3878051,Kansas, Missouri, Arkansas, Texas, New Mexico, Colorado,,
Oregon,3970239,Washington, Idaho, Nevada, California,,,,
Pennsylvania,12787209,New York, New Jersey, Maryland, Delaware, West Virginia, Ohio,,
Puerto Rico,3548397,none,,,,,,,
Rhode Island,1055173,Massachusetts, Connecticut,,,,,,
South Carolina,4832482,Georgia, North Carolina,,,,,,
South Dakota,853175,North Dakota, Minnesota, Iowa, Nebraska, Wyoming, Montana,,
Tennessee,6549352,North Carolina, Georgia, Alabama, Mississippi, Arkansas, Missouri, Kentucky, Virginia
Texas,26956958,New Mexico, Oklahoma, Arkansas, Louisiana,,,,
Utah,2942902,Idaho, Wyoming, Colorado, Arizona, Nevada,,,
Vermont,626562,New Hampshire, Massachusetts, New York,,,,,
Virginia,8326289,North Carolina, Tennessee, Kentucky, West Virginia, Maryland, District of Columbia,,
Washington,7061530,Idaho, Oregon,,,,,,
West Virginia,1850326,Pennsylvania, Maryland, Virginia, Kentucky, Ohio,,,
Wisconsin,5757564,Minnesota, Iowa, Illinois, Michigan,,,,
Wyoming,584153,Montana, South Dakota, Nebraska, Colorado, Utah, Idaho,,
